Eddy_Viscosity,Mach,Nu_Tilde,Points_0,Points_1,Points_2,Pressure_Coefficient
0,0,0,1,0,0,0.255809
0,0,0,0.992739,0.00151925,0,0.218756
0,0,0,0.985523,0.00298981,0,0.188908
0,0,0,0.978353,0.00442412,0,0.165416
0,0,0,0.971231,0.0058254,0,0.144283
0,0,0,0.964156,0.00719657,0,0.123782
0,0,0,0.957129,0.00853886,0,0.105061
0,0,0,0.950149,0.00985441,0,0.0873528
0,0,0,0.943216,0.0111454,0,0.0705326
0,0,0,0.936331,0.0124123,0,0.0545838
0,0,0,0.929492,0.0136555,0,0.0394057
0,0,0,0.9227,0.0148758,0,0.0249558
0,0,0,0.915955,0.0160741,0,0.0110898
0,0,0,0.909257,0.0172512,0,-0.00224073
0,0,0,0.902604,0.0184074,0,-0.0150489
0,0,0,0.895997,0.0195429,0,-0.0273633
0,0,0,0.889435,0.0206585,0,-0.0392765
0,0,0,0.882919,0.0217549,0,-0.0508639
0,0,0,0.876448,0.0228325,0,-0.0621379
0,0,0,0.870022,0.0238914,0,-0.073094
0,0,0,0.86364,0.0249318,0,-0.0837496
0,0,0,0.857303,0.0259541,0,-0.0941575
0,0,0,0.851009,0.0269588,0,-0.104358
0,0,0,0.844759,0.0279463,0,-0.114379
0,0,0,0.838553,0.0289166,0,-0.124239
0,0,0,0.832389,0.0298701,0,-0.13395
0,0,0,0.826269,0.0308068,0,-0.143507
0,0,0,0.82019,0.0317268,0,-0.152898
0,0,0,0.814155,0.0326299,0,-0.162107
0,0,0,0.80816,0.0335165,0,-0.171148
0,0,0,0.802208,0.0343865,0,-0.180037
0,0,0,0.796297,0.0352404,0,-0.188798
0,0,0,0.790427,0.0360781,0,-0.197427
0,0,0,0.784597,0.0368999,0,-0.205918
0,0,0,0.778808,0.0377056,0,-0.214251
0,0,0,0.77306,0.0384955,0,-0.222423
0,0,0,0.767351,0.0392698,0,-0.23045
0,0,0,0.761682,0.0400286,0,-0.238357
0,0,0,0.756052,0.0407722,0,-0.246169
0,0,0,0.750462,0.0415009,0,-0.25389
0,0,0,0.74491,0.0422147,0,-0.261508
0,0,0,0.739397,0.0429137,0,-0.269005
0,0,0,0.733922,0.0435979,0,-0.276366
0,0,0,0.728485,0.0442674,0,-0.283592
0,0,0,0.723086,0.0449225,0,-0.290693
0,0,0,0.717725,0.0455634,0,-0.29768
0,0,0,0.712401,0.0461902,0,-0.304561
0,0,0,0.707114,0.0468031,0,-0.311346
0,0,0,0.701864,0.0474024,0,-0.318044
0,0,0,0.696651,0.0479881,0,-0.324662
0,0,0,0.691474,0.0485606,0,-0.331207
0,0,0,0.686333,0.0491198,0,-0.337686
0,0,0,0.681227,0.0496661,0,-0.344094
0,0,0,0.676158,0.0501994,0,-0.350426
0,0,0,0.671124,0.0507198,0,-0.356681
0,0,0,0.666124,0.0512276,0,-0.362855
0,0,0,0.66116,0.0517227,0,-0.368953
0,0,0,0.656231,0.0522054,0,-0.374975
0,0,0,0.651335,0.0526758,0,-0.380934
0,0,0,0.646474,0.053134,0,-0.386841
0,0,0,0.641647,0.0535801,0,-0.392704
